OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
PROBA-1,2001-049B,2026-03-01T12:34:27.032736,15.06974052,.0057011,97.9626,65.3214,125.6904,234.9648,0,U,26958,999,32740,.27689E-3,.4228E-4,0
CUTE-1 (CO-55),2003-031E,2026-02-28T23:50:05.053920,14.24257525,.0010391,98.6778,69.8999,135.3044,224.8974,0,U,27844,999,17627,.1858525E-3,.385E-5,0
CUBESAT XI-IV (CO-57),2003-031J,2026-03-01T11:45:32.453280,14.23554450,.0010013,98.6807,70.1897,150.6547,209.5195,0,U,27848,999,17605,.17102E-3,.346E-5,0
APRIZESAT 4,2009-041D,2026-03-01T03:46:40.795968,14.83688585,.00423948,98.1504,133.3036,313.1694,46.5979,0,U,35684,999,89534,.11632576E-3,.917E-5,0
APRIZESAT 3,2009-041F,2026-03-01T08:23:47.797728,14.95856548,.0063195,98.1874,208.5340,63.8870,296.8834,0,U,35686,999,90025,.23801E-3,.2701E-4,0
PROBA-2,2009-059B,2026-03-01T11:11:58.570368,14.54784094,.0012051,98.2425,245.3148,251.7540,108.2346,0,U,36037,999,86586,.94979E-4,.362E-5,0
APRIZESAT 5,2011-044E,2026-03-01T09:02:53.281248,14.80824714,.005234,98.2400,350.4214,351.4816,8.5501,0,U,37792,999,78283,.23189E-3,.1772E-4,0
APRIZESAT 6,2011-044F,2026-03-01T08:42:14.758848,14.76730821,.0044579,98.2425,328.6428,71.4332,48.9813,0,U,37793,999,78123,.16397E-3,.1111E-4,0
PROBA-V,2013-021A,2026-03-01T12:17:42.821952,14.23571129,.0005403,98.3494,44.4888,88.5364,271.6434,0,U,39159,999,66579,.61526E-4,.99E-6,0
APRIZESAT 7,2013-066A,2026-03-01T09:43:11.162784,14.91248823,.0035116,97.7583,15.2770,206.5039,153.4385,0,U,39416,999,66516,.18985E-3,.1853E-4,0
APRIZESAT 8,2013-066K,2026-03-01T10:44:11.629248,14.87393919,.00446,97.8105,9.5132,281.0379,78.5822,0,U,39425,999,66365,.18848E-3,.1678E-4,0
BUGSAT-1 (TITA),2014-033E,2026-03-01T12:16:26.593824,15.14370604,.0028801,98.0450,146.8716,186.2416,173.8460,0,U,40014,999,63953,.45332E-3,.8329E-4,0
SAUDISAT 4,2014-033G,2026-03-01T09:05:25.990656,14.79370880,.0046162,97.7395,210.3537,65.1441,295.4560,0,U,40016,999,63013,.14333E-3,.1036E-4,0
APRIZESAT 9,2014-033J,2026-03-01T08:25:32.147328,14.74050146,.0066251,97.8867,196.3058,185.9036,174.1400,0,U,40018,999,62767,.19089E-3,.1248E-4,0
APRIZESAT 10,2014-033K,2026-03-01T08:48:16.011072,14.70733691,.0077681,97.9466,189.8496,257.8775,101.3721,0,U,40019,999,62640,.15137E-3,.913E-5,0
TECHDEMOSAT-1 (TDS-1),2014-037H,2026-03-01T12:21:13.409856,15.11351505,.0004547,98.3754,42.2503,275.7775,84.2934,0,U,40076,999,63195,.68534E-3,.11495E-3,0
TECHNOSAT,2017-042E,2026-03-01T10:41:51.569664,15.04197649,.0019441,97.4136,222.3380,101.6698,258.6711,0,U,42829,999,47050,.36601E-3,.5046E-4,0
FLYING LAPTOP,2017-042G,2026-03-01T12:12:44.475840,15.00447709,.0018226,97.4242,220.5483,122.3025,237.9968,0,U,42831,999,47030,.17634E-3,.2169E-4,0
HAWK-A,2018-099H,2026-03-01T03:15:39.003840,15.23065467,.00345954,97.4077,113.8165,306.9684,52.8387,0,U,43765,999,39664,.3422645E-3,.8127E-4,0
HAWK-B,2018-099AN,2026-03-01T02:21:35.239392,15.21379773,.00319527,97.4129,113.4109,324.9204,34.9927,0,U,43794,999,39659,.34599313E-3,.7796E-4,0
